mia,20160511,mil,8.5
min,20160511,bal,9
nya,20160511,kca,7.5
sea,20160511,tba,7
sfn,20160511,tor,7
tex,20160511,cha,9
was,20160511,det,7
ana,20160512,sln,8
ari,20160512,sfn,8
atl,20160512,phi,7
bal,20160512,det,9.5
bos,20160512,hou,8
lan,20160512,nyn,6
mil,20160512,sdn,9
nya,20160512,kca,7.5
ari,20160513,sfn,9
bal,20160513,det,8.5
bos,20160513,hou,9
chn,20160513,pit,9
cle,20160513,min,8.5
col,20160513,nyn,10
kca,20160513,atl,7.5
lan,20160513,sln,7.5
mil,20160513,sdn,9
nya,20160513,cha,7
phi,20160513,cin,8.5
sea,20160513,ana,8
tba,20160513,oak,7
tex,20160513,tor,10
was,20160513,mia,8.5
ari,20160514,sfn,9
bal,20160514,det,9
bos,20160514,hou,10
chn,20160514,pit,8.5
cle,20160514,min,7
col,20160514,nyn,11.5
kca,20160514,atl,8
lan,20160514,sln,7.5
mil,20160514,sdn,9
nya,20160514,cha,8
phi,20160514,cin,7.5
sea,20160514,ana,7.5
tba,20160514,oak,8
tex,20160514,tor,9
was,20160514,mia,7.5
was,20160514,mia,8
ari,20160515,sfn,9
bal,20160515,det,9
bos,20160515,hou,10.5
chn,20160515,pit,7.5
cle,20160515,min,7.5
col,20160515,nyn,10
kca,20160515,atl,7.5
lan,20160515,sln,7.5
mil,20160515,sdn,9
nya,20160515,cha,8
phi,20160515,cin,7.5
sea,20160515,ana,7.5
tba,20160515,oak,7.5
tex,20160515,tor,9
was,20160515,mia,7.5
ari,20160516,nya,9
cle,20160516,cin,8.5
det,20160516,min,8.5
lan,20160516,ana,7.5
oak,20160516,tex,8
phi,20160516,mia,7.5
pit,20160516,atl,8
tor,20160516,tba,8
ari,20160517,nya,8
bal,20160517,sea,9
cha,20160517,hou,7.5
cle,20160517,cin,7.5
det,20160517,min,9.5
kca,20160517,bos,7.5
lan,20160517,ana,6.5
mil,20160517,chn,8.5
nyn,20160517,was,6.5
oak,20160517,tex,7.5
phi,20160517,mia,7
pit,20160517,atl,7.5
sdn,20160517,sfn,7
sln,20160517,col,7
tor,20160517,tba,8
ana,20160518,lan,8
ari,20160518,nya,9
bal,20160518,sea,8.5
cha,20160518,hou,8.5
cin,20160518,cle,8.5
det,20160518,min,9
kca,20160518,bos,7
kca,20160518,bos,8
mil,20160518,chn,8.5
nyn,20160518,was,7
oak,20160518,tex,8
phi,20160518,mia,8
pit,20160518,atl,7
sdn,20160518,sfn,6.5
sln,20160518,col,8
tor,20160518,tba,8.5
ana,20160519,lan,7.5
bal,20160519,sea,8.5
cha,20160519,hou,7.5
cin,20160519,cle,8.5
mil,20160519,chn,8.5
min,20160519,tor,9
nyn,20160519,was,6.5
oak,20160519,nya,8
pit,20160519,atl,8
sdn,20160519,sfn,7
sln,20160519,col,7
ana,20160520,bal,7.5
bos,20160520,cle,8.5
cha,20160520,kca,7.5
cin,20160520,sea,8.5
det,20160520,tba,9
hou,20160520,tex,8.5
mia,20160520,was,9
min,20160520,tor,8.5
nyn,20160520,mil,7.5
oak,20160520,nya,7.5
phi,20160520,atl,7.5
pit,20160520,col,7.5
sdn,20160520,lan,7.5
sfn,20160520,chn,7
sln,20160520,ari,7
ana,20160521,bal,8
bos,20160521,cle,10
cha,20160521,kca,9
cin,20160521,sea,8.5
det,20160521,tba,9
hou,20160521,tex,8.5
mia,20160521,was,7
min,20160521,tor,10
nyn,20160521,mil,7
oak,20160521,nya,7
phi,20160521,atl,8
pit,20160521,col,7.5
sdn,20160521,lan,7.5
sfn,20160521,chn,7.5
sln,20160521,ari,7.5
ana,20160522,bal,8.5
bos,20160522,cle,8.5
cha,20160522,kca,8
cin,20160522,sea,9.5
det,20160522,tba,8.5
hou,20160522,tex,7.5
mia,20160522,was,7
min,20160522,tor,8.5
nyn,20160522,mil,7
oak,20160522,nya,7.5
phi,20160522,atl,7.5
sdn,20160522,lan,7.5
sfn,20160522,chn,7
sln,20160522,ari,7
cha,20160523,cle,9.5
cha,20160523,cle,9.5
det,20160523,phi,8.5
lan,20160523,cin,6.5
mia,20160523,tba,7.5
min,20160523,kca,8
pit,20160523,col,8.5
sea,20160523,oak,7
sfn,20160523,sdn,6.5
sln,20160523,chn,8
tex,20160523,ana,9.5
was,20160523,nyn,7.5
atl,20160524,mil,7.5
bos,20160524,col,8.5
cha,20160524,cle,7.5
det,20160524,phi,8.5
hou,20160524,bal,8.5
lan,20160524,cin,7.5
mia,20160524,tba,8
min,20160524,kca,8
nya,20160524,tor,8
pit,20160524,ari,8.5
sea,20160524,oak,7.5
sfn,20160524,sdn,7
sln,20160524,chn,8
tex,20160524,ana,9
was,20160524,nyn,7
atl,20160525,mil,7.5
bos,20160525,col,9.5
cha,20160525,cle,7.5
det,20160525,phi,8
hou,20160525,bal,8.5
lan,20160525,cin,7.5
min,20160525,kca,8
nya,20160525,tor,8.5
pit,20160525,ari,8.5
sea,20160525,oak,8
sfn,20160525,sdn,7.5
sln,20160525,chn,7
tba,20160525,mia,8.5
tex,20160525,ana,9.5
was,20160525,nyn,7.5
atl,20160526,mil,8
bos,20160526,col,9
hou,20160526,bal,8
nya,20160526,tor,9
pit,20160526,ari,7.5
tba,20160526,mia,6.5
was,20160526,sln,8
ana,20160527,hou,7.5
ari,20160527,sdn,10
atl,20160527,mia,7.5
chn,20160527,phi,9
cle,20160527,bal,8.5
col,20160527,sfn,10.5
kca,20160527,cha,8
mil,20160527,cin,9
nyn,20160527,lan,7
oak,20160527,det,8.5
sea,20160527,min,7.5
tba,20160527,nya,7
tex,20160527,pit,9
tor,20160527,bos,8.5
was,20160527,sln,7
ana,20160528,hou,8
ari,20160528,sdn,8.5
atl,20160528,mia,8
chn,20160528,phi,9.5
cle,20160528,bal,8.5
col,20160528,sfn,11
kca,20160528,cha,8
mil,20160528,cin,9.5
nyn,20160528,lan,7
oak,20160528,det,9.5
sea,20160528,min,8
tba,20160528,nya,7.5
tex,20160528,pit,9
tor,20160528,bos,9
was,20160528,sln,8.5
ana,20160529,hou,8
ari,20160529,sdn,8
atl,20160529,mia,8
chn,20160529,phi,9.5
cle,20160529,bal,9
col,20160529,sfn,10.5
kca,20160529,cha,7.5
mil,20160529,cin,9
nyn,20160529,lan,6.5
oak,20160529,det,9
sea,20160529,min,7.5
tba,20160529,nya,7
tex,20160529,pit,9
tor,20160529,bos,9
was,20160529,sln,7.5
ana,20160530,det,7.5
ari,20160530,hou,9
atl,20160530,sfn,8
bal,20160530,bos,9
chn,20160530,lan,8.5
cle,20160530,tex,9
col,20160530,cin,11.5
kca,20160530,tba,7.5
mia,20160530,pit,9
mil,20160530,sln,9
nyn,20160530,cha,7
oak,20160530,min,9
phi,20160530,was,8
sea,20160530,sdn,8
tor,20160530,nya,9
ana,20160531,det,8.5
ari,20160531,hou,8.5
atl,20160531,sfn,9
bal,20160531,bos,8.5
chn,20160531,lan,7.5
cle,20160531,tex,8.5
col,20160531,cin,11
kca,20160531,tba,7.5
mia,20160531,pit,6.5
mil,20160531,sln,9
nyn,20160531,cha,7.5
oak,20160531,min,8.5
phi,20160531,was,7
sea,20160531,sdn,7.5
tor,20160531,nya,9
ana,20160601,det,8
atl,20160601,sfn,8.5
bal,20160601,bos,9
chn,20160601,lan,8.5
cle,20160601,tex,8
col,20160601,cin,11.5
hou,20160601,ari,8.5
kca,20160601,tba,7
mia,20160601,pit,8.5
mil,20160601,sln,9
nyn,20160601,cha,7.5
oak,20160601,min,9
phi,20160601,was,7.5
sdn,20160601,sea,7.5
tor,20160601,nya,8
atl,20160602,sfn,7
bal,20160602,bos,9.5
chn,20160602,lan,8.5
cle,20160602,kca,7.5
col,20160602,cin,12.5
det,20160602,nya,9
hou,20160602,ari,7.5
mia,20160602,pit,8
min,20160602,tba,9
phi,20160602,mil,8
sdn,20160602,sea,8.5
bal,20160603,nya,8
bos,20160603,tor,9
chn,20160603,ari,8.5
cin,20160603,was,9
cle,20160603,kca,7.5
det,20160603,cha,9
hou,20160603,oak,8.5
lan,20160603,atl,7
mia,20160603,nyn,7
min,20160603,tba,8.5
phi,20160603,mil,8
pit,20160603,ana,8.5
sdn,20160603,col,7.5
sln,20160603,sfn,7.5
tex,20160603,sea,8.5
bal,20160604,nya,9
bos,20160604,tor,9.5
chn,20160604,ari,10
cin,20160604,was,8
cle,20160604,kca,8
det,20160604,cha,8.5
hou,20160604,oak,8.5
lan,20160604,atl,6
mia,20160604,nyn,9
min,20160604,tba,8.5
phi,20160604,mil,8
pit,20160604,ana,8.5
sdn,20160604,col,8.5
sln,20160604,sfn,8
tex,20160604,sea,9
bal,20160605,nya,8.5
bos,20160605,tor,9.5
chn,20160605,ari,8
cin,20160605,was,9.5
cle,20160605,kca,8
det,20160605,cha,7.5
hou,20160605,oak,8.5
lan,20160605,atl,7.5
mia,20160605,nyn,7
min,20160605,tba,8
phi,20160605,mil,8
pit,20160605,ana,7.5
sdn,20160605,col,8.5
sln,20160605,sfn,8.5
tex,20160605,sea,9.5
ari,20160606,tba,8
bal,20160606,kca,8.5
det,20160606,tor,9.5
lan,20160606,col,7.5
nya,20160606,ana,8.5
phi,20160606,chn,8.5
sdn,20160606,atl,7.5
sea,20160606,cle,8.5
tex,20160606,hou,9.5
ari,20160607,tba,8
bal,20160607,kca,9
cha,20160607,was,8.5
cin,20160607,sln,9.5
det,20160607,tor,9.5
lan,20160607,col,8
mil,20160607,oak,9.5
min,20160607,mia,9
nya,20160607,ana,9
phi,20160607,chn,8
pit,20160607,nyn,7.5
pit,20160607,nyn,7.5
sdn,20160607,atl,8
sea,20160607,cle,9
sfn,20160607,bos,7.5
tex,20160607,hou,8
ari,20160608,tba,8.5
bal,20160608,kca,8
cha,20160608,was,7.5
cin,20160608,sln,9.5
det,20160608,tor,9
lan,20160608,col,7.5
mil,20160608,oak,9
min,20160608,mia,9
nya,20160608,ana,9
phi,20160608,chn,7.5
pit,20160608,nyn,6.5
sdn,20160608,atl,6.5
sea,20160608,cle,7.5
sfn,20160608,bos,6
tex,20160608,hou,8.5
cha,20160609,was,9
cin,20160609,sln,10
col,20160609,pit,12.5
mil,20160609,nyn,9
min,20160609,mia,9.5
nya,20160609,ana,9
sea,20160609,cle,8
tex,20160609,hou,9.5
tor,20160609,bal,9
ana,20160610,cle,7.5
ari,20160610,mia,9.5
atl,20160610,chn,8
cha,20160610,kca,8
cin,20160610,oak,9
col,20160610,sdn,12
mil,20160610,nyn,9
min,20160610,bos,9
nya,20160610,det,10
pit,20160610,sln,8
sea,20160610,tex,7.5
sfn,20160610,lan,5.5
tba,20160610,hou,7.5
tor,20160610,bal,8.5
was,20160610,phi,7.5
ana,20160611,cle,7.5
ari,20160611,mia,9
atl,20160611,chn,7.5
cha,20160611,kca,8
cin,20160611,oak,9.5
col,20160611,sdn,12.5
mil,20160611,nyn,9.5
min,20160611,bos,10
nya,20160611,det,8
pit,20160611,sln,8
sea,20160611,tex,7.5
sfn,20160611,lan,7.5
tba,20160611,hou,7.5
tor,20160611,bal,9
was,20160611,phi,7.5
ana,20160612,cle,7.5
ari,20160612,mia,8.5
atl,20160612,chn,8
cha,20160612,kca,8.5
cin,20160612,oak,9.5
col,20160612,sdn,12.5
mil,20160612,nyn,7.5
min,20160612,bos,9
nya,20160612,det,8.5
pit,20160612,sln,9
sea,20160612,tex,7.5
sfn,20160612,lan,7.5
tba,20160612,hou,7.5
tor,20160612,bal,9
was,20160612,phi,8.5
ana,20160613,min,8.5
ari,20160613,lan,9
atl,20160613,cin,8.5
cha,20160613,det,10
kca,20160613,cle,8
oak,20160613,tex,8
sdn,20160613,mia,7.5
sfn,20160613,mil,7.5
tor,20160613,phi,9
was,20160613,chn,7.5
ana,20160614,min,7.5
ari,20160614,lan,9
atl,20160614,cin,7.5
bos,20160614,bal,8.5
cha,20160614,det,9
col,20160614,nya,10.5
kca,20160614,cle,8.5
nyn,20160614,pit,7
oak,20160614,tex,8.5
sdn,20160614,mia,7.5
sfn,20160614,mil,7
sln,20160614,hou,8.5
tba,20160614,sea,7.5
tor,20160614,phi,8.5
was,20160614,chn,8
ana,20160615,min,8
ari,20160615,lan,7
atl,20160615,cin,7.5
